SR_Family,count_of_SP_800_171
3.01,22
3.13,16
3.05,11
3.03,9
3.04,9
3.08,9
3.14,7
3.07,6
3.1,6
3.12,4
3.02,3
3.06,3
3.11,3
3.09,2
